Date,21-Day,63-Day,126-Day
2020-07-01 00:00:00+00:00,65.7909344135303,98.01454397686864,259.00841658036364
2020-07-02 00:00:00+00:00,63.93887795795998,92.62890921669863,257.48576684422426
2020-07-06 00:00:00+00:00,61.97200288957078,89.38927107152756,256.1708143240164
2020-07-07 00:00:00+00:00,57.107676066960856,86.40175935281486,254.75794616830382
2020-07-08 00:00:00+00:00,54.607644717557704,82.44427340242012,253.36151367705173
2020-07-09 00:00:00+00:00,53.222672650280224,79.91218681379425,251.84556240527343
2020-07-10 00:00:00+00:00,53.52179765688584,78.44308218903275,250.2375166748188
2020-07-13 00:00:00+00:00,42.84843344049645,76.38001948199897,248.4516683898019
2020-07-14 00:00:00+00:00,40.006163994931065,75.73171897419569,246.65127849148965
2020-07-15 00:00:00+00:00,39.981258554704844,74.09849900069,244.9080186162304
2020-07-16 00:00:00+00:00,39.87390315181784,72.58420413522967,243.1297580200286
2020-07-17 00:00:00+00:00,41.98315875984256,72.36641068808177,241.44671542514578
2020-07-20 00:00:00+00:00,45.32922727672002,69.25991515356259,239.79372554474378
2020-07-21 00:00:00+00:00,44.28997889680091,64.13145895628342,238.22678511436894
2020-07-22 00:00:00+00:00,46.67043047602971,61.36367315911651,236.69463802097368
2020-07-23 00:00:00+00:00,46.91259339012372,57.964663703565535,235.01514445343335
2020-07-24 00:00:00+00:00,44.11901427711569,57.52602815775108,233.61511683309868
2020-07-27 00:00:00+00:00,43.53841317451846,58.18940073992471,232.87174175847267
2020-07-28 00:00:00+00:00,36.921064682778066,58.46251330330314,231.76698095831577
2020-07-29 00:00:00+00:00,35.49571433095211,59.5435357835115,230.78707817131092
2020-07-30 00:00:00+00:00,34.46185129452991,59.72263667098626,229.58811821048783
2020-07-31 00:00:00+00:00,34.937320176759634,58.61581766634601,228.93074288197462
2020-08-03 00:00:00+00:00,35.77909300369829,57.99687638836515,228.15849206157696
2020-08-04 00:00:00+00:00,36.7152549534562,58.347542435805686,227.1240571156599
2020-08-05 00:00:00+00:00,36.78464931926169,58.71313664655917,226.004625068413
2020-08-06 00:00:00+00:00,37.873011273443474,59.813298353614485,224.87868146968427
2020-08-07 00:00:00+00:00,37.70061853077251,61.23129474954459,223.88582633101004
2020-08-10 00:00:00+00:00,38.823724831902425,62.59389533248053,222.81676155720302
2020-08-11 00:00:00+00:00,29.645088320214537,62.60308803932288,221.55213467997802
2020-08-12 00:00:00+00:00,25.642694836485575,62.2611945729917,220.19485628536324
2020-08-13 00:00:00+00:00,24.031005375752798,62.81947930711035,218.92371041239974
2020-08-14 00:00:00+00:00,20.965315278235973,63.48975610726965,217.55610167830724
2020-08-17 00:00:00+00:00,21.845260229604893,64.78066686809083,216.4948591567939
2020-08-18 00:00:00+00:00,23.008585217319173,65.75386903557761,215.31504590713814
2020-08-19 00:00:00+00:00,22.846675099579013,66.54839932131821,214.22267478337466
2020-08-20 00:00:00+00:00,22.80167058599883,67.13452177073268,213.37855763435857
2020-08-21 00:00:00+00:00,20.832165682481527,67.84250684744067,213.66067444589535
2020-08-24 00:00:00+00:00,18.790225705149005,68.56927874298522,214.21029457410475
2020-08-25 00:00:00+00:00,18.138571581452346,69.3724971844545,214.77758689828448
2020-08-26 00:00:00+00:00,15.822165269014667,69.75999757988743,215.4342726918263
2020-08-27 00:00:00+00:00,16.232714925254363,69.95815072119223,215.90348534241656
2020-08-28 00:00:00+00:00,14.738121326521576,70.40052336299892,216.60614186885263
2020-08-31 00:00:00+00:00,18.562824246389653,70.40981072084854,216.96414366569238
2020-09-01 00:00:00+00:00,21.205642816285195,70.38034617831252,217.30169176805006
2020-09-02 00:00:00+00:00,24.492205604296608,70.34438850820186,217.55317575498216
2020-09-03 00:00:00+00:00,43.799471102102004,71.37193206647443,217.3458386685696
2020-09-04 00:00:00+00:00,50.08487665130416,71.67556371518026,215.65826356645516
2020-09-08 00:00:00+00:00,55.835039775898366,72.16942102481859,214.9796622399675
2020-09-09 00:00:00+00:00,57.12935676686705,72.23090560698014,213.39433696552356
2020-09-10 00:00:00+00:00,59.55127772470081,67.04509580815876,205.36254663496743
2020-09-11 00:00:00+00:00,58.99978658355688,64.53306736012243,202.8262137183867
2020-09-14 00:00:00+00:00,57.91889951294616,62.78839201152069,190.85618096483688
2020-09-15 00:00:00+00:00,56.60169941352255,61.28868149735079,181.33432156570973
2020-09-16 00:00:00+00:00,54.46071450655011,59.75121148394339,170.73370513951826
2020-09-17 00:00:00+00:00,52.17804364138186,58.35227716699719,161.488355769359
2020-09-18 00:00:00+00:00,50.60706596985874,55.67894100485998,154.41991003058683
2020-09-21 00:00:00+00:00,49.22580597828537,54.66719022177185,148.6549688209852
2020-09-22 00:00:00+00:00,47.13027979452159,53.70318983721269,142.5487422236618
2020-09-23 00:00:00+00:00,44.86707580502321,51.66522655445589,134.86453211972074
2020-09-24 00:00:00+00:00,41.38814758230373,50.410055761709295,128.0345542883161
2020-09-25 00:00:00+00:00,38.938290627010005,47.259069914574994,118.29401110088966
2020-09-28 00:00:00+00:00,37.73936742655443,45.757029221787434,112.27137258400738
2020-09-29 00:00:00+00:00,34.31789179900839,44.817289413044726,107.44218166521274
2020-09-30 00:00:00+00:00,34.33637001373747,44.466399738997744,100.48523393750162
2020-10-01 00:00:00+00:00,34.068980606939526,44.337803981350646,96.01543008950831
2020-10-02 00:00:00+00:00,33.83275797720514,44.27982881138609,92.91437816926401
2020-10-05 00:00:00+00:00,26.29582581702908,43.87821813513861,90.20939238604412
